PLAYER,SEASON,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,ALLSTAR
Kevon Looney,2021,GSW,26,59,42,17,21.4,6.3,2.6,4.8,54.8,0,0,0,1.1,1.7,63.1,2.7,4.8,7.6,1.7,0.9,0.6,0.7,2.7,21.1,4,0,2.6,0
Damian Jones,2021,SAC,27,37,12,25,15.3,6.3,2.4,3.8,63.8,0.1,0.4,35.7,1.3,1.8,72.7,1.4,2.5,3.9,1.1,1,0.3,0.6,2.1,14.5,1,0,-2,0
Tristan Thompson,2021,CHI,31,34,12,22,15.3,6.3,2.6,5.1,50.9,0,0,100,1,2,51.5,2.3,2.9,5.3,0.6,1,0.3,0.4,1.7,14.7,1,0,-2,0
JaMychal Green,2021,DEN,32,45,23,22,14.9,6.3,2.3,5,45.1,0.6,2.2,26.5,1.2,1.4,86.9,1,2.7,3.7,0.8,0.9,0.7,0.4,2.2,14.4,0,0,-2.3,0
Andre Drummond,2021,BKN,28,52,30,22,18.6,6.3,2.7,5.1,53,0,0,0,0.9,1.8,49.5,2.8,6.2,9,2,1.6,1.2,0.9,2.5,24.7,8,0,0.1,0
Hassani Gravett,2021,ORL,25,8,2,6,21.4,6.3,2.3,4.8,47.4,1.4,3.3,42.3,0.4,0.5,75,0.1,2.5,2.6,2.5,1.1,0.6,0.1,1.6,14.3,0,0,-0.3,0
Alex Len,2021,SAC,29,33,13,20,16.9,6.2,2.5,4.7,52.9,0.2,0.6,31.6,1.1,1.7,64.3,1.5,3.2,4.6,1.2,1.2,0.4,0.8,2.7,15.8,2,0,-2.6,0
Aaron Holiday,2021,PHX,25,44,21,23,16,6.2,2.5,5.2,48,0.6,1.7,37,0.6,0.8,80,0.2,1.4,1.7,2,1,0.6,0.2,1.5,12.5,0,0,-1.6,0
Chaundee Brown Jr.,2021,ATL,23,5,1,4,20.7,6.2,2,6.4,31.3,1.2,3.6,33.3,1,1.2,83.3,0.2,3,3.2,0.8,0.2,0.4,0,1.4,12.2,0,0,-4,0
Killian Hayes,2021,DET,20,46,11,35,24.4,6.2,2.3,6.4,36.1,0.7,2.5,27.4,0.9,1.1,81.6,0.5,2.4,2.9,4.1,1.7,1,0.5,2.7,18.6,2,0,-7,0
Armoni Brooks,2021,TOR,24,41,11,30,16.8,6.2,2.1,6.1,34.7,1.6,5.2,30,0.4,0.5,84.2,0.3,1.7,2,1.2,0.6,0.5,0.2,1.5,11.9,0,0,-1.7,0
Austin Reaves,2021,LAL,24,39,22,17,21.3,6.2,2.1,4.3,48.8,0.8,2.4,32.6,1.2,1.4,82.1,0.6,2.1,2.6,1.3,0.5,0.3,0.3,1.4,12.4,0,0,3.2,0
Omer Yurtseven,2021,MIA,24,42,28,14,14.1,6.2,2.7,5,53.8,0,0.2,14.3,0.8,1.3,63,1.7,4.2,6,1,0.9,0.4,0.4,1.7,16.4,8,0,1.2,0
Nemanja Bjelica,2021,GSW,34,53,37,16,15.3,6.2,2.3,5,45.3,0.8,2.3,33.9,0.8,1.2,68.2,0.8,3.1,3.9,1.9,1.1,0.6,0.3,1.7,15.3,2,0,1.9,0
Thaddeus Young,2021,TOR,34,28,11,17,14.4,6.1,2.9,5.1,57,0,0.3,0,0.4,0.8,43.5,1.6,2.1,3.6,2.2,1.2,0.9,0.3,1.5,16.1,0,0,-0.7,0
Wayne Ellington,2021,LAL,34,35,13,22,18.9,6.1,2.1,5.3,39.2,1.9,4.8,38.5,0.1,0.1,80,0.3,1.5,1.7,0.7,0.4,0.5,0.1,1,10.7,0,0,-1.9,0
Derrick Jones Jr.,2021,CHI,25,34,24,10,17.5,6.1,2.2,4.1,55.1,0.5,1.2,40,1.2,1.4,81.6,1.3,2.1,3.4,0.6,0.5,0.5,0.7,2.4,14,0,0,1.4,0
Day'Ron Sharpe,2021,BKN,20,30,12,18,12.4,6.1,2.7,4.7,57.1,0,0.1,25,0.7,1.2,56.8,2.6,2.5,5.1,0.5,1,0.3,0.5,2,14.4,2,0,2,0
Austin Rivers,2021,DEN,29,44,27,17,21,6,2.2,5.3,41.3,1.2,3.5,34.6,0.4,0.6,70.4,0.3,1.3,1.7,1.1,0.9,0.7,0.1,1.6,11.4,0,0,0.2,0
Facundo Campazzo,2021,DEN,31,54,31,23,20.3,6,1.9,5.1,37.8,1.1,3.3,32,1.1,1.3,80.6,0.4,1.6,1.9,3.7,1.2,1.1,0.4,2.1,17.1,2,0,-4.4,0
James Johnson,2021,BKN,35,43,21,22,19.3,5.9,2.6,5.3,48.7,0.3,1.3,25.5,0.4,0.9,47.4,1,2.6,3.6,2,0.8,0.5,0.3,2.5,15,1,0,-0.2,0
Kira Lewis Jr.,2021,NOP,21,24,6,18,14.2,5.9,2.5,6.1,40.4,0.5,2.4,22.4,0.4,0.5,83.3,0.4,1.3,1.6,2,1.1,0.5,0,0.7,11.3,0,0,-4.5,0
Eric Paschall,2021,UTA,25,44,28,16,13.3,5.9,2,4.1,48.6,0.8,2,37.8,1.1,1.5,75.8,0.6,1.5,2.1,0.6,0.6,0.2,0.1,1,9.4,0,0,0.8,0
Davis Bertans,2021,DAL,29,36,17,19,14.8,5.8,1.8,5.2,34.9,1.4,4.4,31.6,0.8,0.9,93.5,0.2,1.6,1.8,0.5,0.4,0.3,0.2,1.6,9.8,0,0,-0.7,0
Zach Collins,2021,SAS,24,5,3,2,16.4,5.8,2.4,5.4,44.4,0.6,1.4,42.9,0.4,0.8,50,1.6,3.6,5.2,2.2,1.6,0.8,0.4,2.2,17.3,0,0,-0.6,0
